review_confidence,geonames_id,name,ascii_name,feature_code,population,latitude,longitude,nearest_json_name,nearest_json_acs_code,distance_km,name_similarity,geonames_url
high,266401,Aayoun Orghoush,Aayoun Orghoush,PPL,0,34.26194,36.12944,Bcharre,36111,6.418,0.3,https://www.geonames.org/266401
high,6278050,Beït el Haj Hassan,Beit el Haj Hassan,PPL,0,34.44528,36.50944,Qaa Jouar Maqiye,53267,5.953,0.308,https://www.geonames.org/6278050
high,6277372,Ech Chmaliyé,Ech Chmaliye,PPL,0,34.18278,36.42111,Aain Baalbek,53217,5.608,0.333,https://www.geonames.org/6277372
high,280414,El Aaïâra,El Aaiara,PPL,0,34.23861,36.11222,Bcharre,36111,5.241,0.308,https://www.geonames.org/280414
high,280354,El Baraké,El Barake,PPL,0,34.23472,36.10694,Bcharre,36111,5.001,0.615,https://www.geonames.org/280354
high,434652,El Bâloûaa,El Balouaa,PPL,0,34.25583,36.12583,Bcharre,36111,6.067,0.364,https://www.geonames.org/434652
high,6394398,El Faqrât,El Faqrat,PPL,0,34.25167,36.12306,Bcharre,36111,5.843,0.308,https://www.geonames.org/6394398
high,279058,El Qasr,El Qasr,PPL,0,34.48056,36.44028,Hermel,54111,6.556,0.2,https://www.geonames.org/279058
high,6277373,El Qobliyé,El Qobliye,PPL,0,34.17694,36.4175,Aarsal,53231,5.718,0.308,https://www.geonames.org/6277373
high,6278020,Ez Zekbi,Ez Zekbi,PPL,0,34.48028,36.39417,Hermel,54111,6.063,0.308,https://www.geonames.org/6278020
high,6278047,Haouch Beït Ismaïl,Haouch Beit Ismail,PPL,0,34.45583,36.48444,Hermel,54111,7.556,0.364,https://www.geonames.org/6278047
high,6278048,Haouch Saïd Aali,Haouch Said Aali,PPL,0,34.45972,36.5,Qaa Jouar Maqiye,53267,7.693,0.385,https://www.geonames.org/6278048
high,6278027,Haoucharîyé,Haouchariye,PPL,0,34.49528,36.39611,Hermel,54111,7.663,0.353,https://www.geonames.org/6278027
high,6278107,Haret en Namous,Haret en Namous,PPL,0,34.5175,36.3125,Mazareaa Jabal Akroum,35516,5.215,0.421,https://www.geonames.org/6278107
high,6278024,Mazraat et Tallé,Mazraat et Talle,PPL,0,34.49056,36.38167,Charbine El-Hermel,54127,6.785,0.308,https://www.geonames.org/6278024
high,271533,Mrâh en Naouâs,Mrah en Naouas,PPL,0,34.33778,36.30417,Ras Baalbek El Gharbi,54135,5.265,0.286,https://www.geonames.org/271533
high,267985,Saïdet en Najât,Saidet en Najat,PPL,0,34.2475,36.12222,Bcharre,36111,5.835,0.348,https://www.geonames.org/267985
medium,6278625,Aarîda,Aarida,PPL,0,34.66722,36.30417,Dayret Nahr El-Kabir,35511,2.581,0.19,https://www.geonames.org/6278625
medium,12239334,Al Qurayţah,Al Quraytah,PPL,0,34.37351,36.24379,Hermel Jbab,54159,4.115,0.222,https://www.geonames.org/12239334
medium,434642,Aïchâné,Aichane,PPL,0,34.25611,36.02,Bqaa Kafra,36191,3.327,0.353,https://www.geonames.org/434642
medium,277739,Aïn ed Dobb,Ain ed Dobb,PPL,0,34.14389,35.92611,Aarab El-Lahib,26374,2.689,0.375,https://www.geonames.org/277739
medium,277701,Aïn el Bâtié,Ain el Batie,PPL,0,34.19139,35.93444,Tannourine El-Faouqa,34386,2.542,0.364,https://www.geonames.org/277701
medium,6277920,Bayader,Bayader,PPL,0,34.38722,36.39278,Deir Mar Maroun Baalbek,53244,3.884,0.296,https://www.geonames.org/6277920
medium,12239338,Bayt al Ḩājj Ḩusayn,Bayt al Hajj Husayn,PPL,0,34.36986,36.2074,Hermel Jbab,54159,2.946,0.182,https://www.geonames.org/12239338
medium,171573,Bayt Ḩayrah,Bayt Hayrah,PPL,0,34.43333,36.46667,Qaa Ouadi El-Khanzir,53254,4.993,0.348,https://www.geonames.org/171573
medium,6277917,Bdaïta,Bdaita,PPL,0,34.39056,36.37972,Deir Mar Maroun Baalbek,53244,4.537,0.231,https://www.geonames.org/6277917
medium,433480,Behinna,Behinna,PPL,0,33.90833,35.87778,Qaa Er-Rim,51173,2.054,0.267,https://www.geonames.org/433480
