field|section|type|db|llm|mapper|serializer|frontend|gap
arrested|Casualty demographics|Count|Y|N|N|N|Y|llm;serializer
children_d|Casualty demographics|Count|Y|Y|Y|Y|Y|-
children_i|Casualty demographics|Count|Y|Y|Y|Y|Y|-
deaths|Casualty demographics|Count|Y|Y|Y|N|Y|-
female_d|Casualty demographics|Count|Y|Y|Y|Y|Y|-
female_i|Casualty demographics|Count|Y|Y|Y|Y|Y|-
fire|Casualty demographics|Flag|Y|N|N|N|Y|llm;serializer
injuries|Casualty demographics|Count|Y|Y|Y|N|Y|-
isf_gs|Casualty demographics|Flag|Y|N|N|N|Y|llm;serializer
lib_y_n|Casualty demographics|Free text|Y|N|N|N|Y|llm;serializer
male_d|Casualty demographics|Count|Y|Y|Y|Y|Y|-
male_i|Casualty demographics|Count|Y|Y|Y|Y|Y|-
obs_duties|Casualty demographics|Flag|Y|N|N|N|Y|llm;serializer
total_deaths|Casualty demographics|Automated|Y|Y|Y|N|Y|-
total_injuries|Casualty demographics|Automated|Y|Y|Y|N|Y|-
crossing|Crossings & other|Flag|Y|Y|Y|Y|Y|-
drone_f|Crossings & other|Flag|Y|N|N|Y|Y|llm;mapper
electric|Crossings & other|Flag|Y|N|N|Y|Y|llm;mapper
electric_did|Crossings & other|Direct-Indirect|Y|N|N|Y|N|llm;mapper;frontend
electric_type|Crossings & other|Free text|Y|N|N|Y|Y|llm;mapper
litani|Crossings & other|Flag|Y|N|N|Y|Y|llm;mapper
mj_did|Crossings & other|Direct-Indirect|Y|N|N|Y|N|llm;mapper;frontend
mjnoub|Crossings & other|Flag|Y|N|N|Y|Y|llm;mapper
olives_trees_d|Crossings & other|Count|Y|N|N|Y|Y|llm;mapper
other|Crossings & other|Flag|Y|Y|Y|Y|Y|-
other_d|Crossings & other|Count|Y|N|N|Y|Y|llm;mapper
other_did|Crossings & other|Direct-Indirect|Y|Y|N|Y|N|mapper;frontend
other_i|Crossings & other|Count|Y|N|N|Y|Y|llm;mapper
other_type|Crossings & other|Free text|Y|Y|Y|Y|Y|-
water|Crossings & other|Flag|Y|N|N|Y|Y|llm;mapper
water_did|Crossings & other|Direct-Indirect|Y|N|N|Y|N|llm;mapper;frontend
water_type|Crossings & other|Free text|Y|N|N|Y|Y|llm;mapper
zahrani|Crossings & other|Flag|Y|N|N|Y|Y|llm;mapper
car_nbr|Emergency / Civil Defense|Free text|Y|N|N|Y|Y|llm;mapper
e_cars|Emergency / Civil Defense|Flag|Y|N|N|Y|Y|llm;mapper
emer|Emergency / Civil Defense|Flag|Y|Y|Y|Y|Y|-
emer_d|Emergency / Civil Defense|Count|Y|Y|Y|Y|Y|-
emer_i|Emergency / Civil Defense|Count|Y|Y|Y|Y|Y|-
emer_rela|Emergency / Civil Defense|Free text|Y|N|N|Y|Y|llm;mapper
gb_did|Government building|Direct-Indirect|Y|Y|Y|Y|N|frontend
gbd|Government building|Automated|Y|Y|Y|N|N|-
gbf_d|Government building|Count|Y|Y|Y|Y|Y|-
gbf_i|Government building|Count|Y|Y|Y|Y|Y|-
gbi|Government building|Automated|Y|Y|Y|N|N|-
gbm_d|Government building|Count|Y|Y|Y|Y|Y|-
gbm_i|Government building|Count|Y|Y|Y|Y|Y|-
gov|Government building|Flag|Y|Y|Y|Y|Y|-
gov_bui|Government building|Free text|Y|N|N|Y|Y|llm;mapper
gov_n|Government building|Free text|Y|Y|Y|Y|Y|-
hc|Health Center|Flag|Y|Y|Y|Y|Y|-
hc_damage_level|Health Center|Free text|Y|N|N|Y|Y|llm;mapper
hc_did|Health Center|Direct-Indirect|Y|Y|Y|Y|N|frontend
hc_rela|Health Center|Free text|Y|N|N|Y|Y|llm;mapper
